,Charlotte Ratio,TotalUS Ratio,category,month,year
0,0.06877658397678882,0.19691282683487898,conventional,Dec,2015.0
1,0.022536792717648475,0.4562471114654316,organic,Dec,2015.0
2,0.10582837991683025,0.20766911802308077,conventional,Nov,2015.0
3,0.004355867513659059,0.46420837829785366,organic,Nov,2015.0
4,0.15024324890725105,0.21575601167154712,conventional,Oct,2015.0
5,0.0,0.4397255885705084,organic,Oct,2015.0
6,0.12402369337972391,0.21808080088906737,conventional,Sep,2015.0
7,0.0,0.359492556835091,organic,Sep,2015.0
8,0.03813164896437954,0.14049532663445224,conventional,Aug,2015.0
9,0.0,0.35720614337722445,organic,Aug,2015.0
10,0.04001186635655425,0.14634276889154055,conventional,Jul,2015.0
11,0.004441590553027315,0.47922611075525534,organic,Jul,2015.0
12,0.03819340610080605,0.13478111679288898,conventional,Jun,2015.0
13,0.0,0.35814828674299465,organic,Jun,2015.0
14,0.05152685003637706,0.1439629184242714,conventional,May,2015.0
15,0.0,0.3892329045101032,organic,May,2015.0
16,0.030795616812064986,0.1412122360329759,conventional,Apr,2015.0
17,0.0,0.2914332224058228,organic,Apr,2015.0
18,0.03513645427358265,0.133875246299271,conventional,Mar,2015.0
19,0.0,0.20393686395219632,organic,Mar,2015.0
20,0.18369419307938414,0.15655044429509504,conventional,Feb,2015.0
21,0.0,0.22139447497977716,organic,Feb,2015.0
22,0.21243647762004272,0.1731208477755251,conventional,Jan,2015.0
23,0.0,0.2599716339796383,organic,Jan,2015.0
24,0.1670703570118931,0.2526709183770985,conventional,Dec,2016.0
25,0.10549174375047779,0.4064358035218829,organic,Dec,2016.0
26,0.1293549778509735,0.2376221114320414,conventional,Nov,2016.0
27,0.10172011507875435,0.38227461212100744,organic,Nov,2016.0
28,0.13916179947723056,0.26444494437581517,conventional,Oct,2016.0
29,0.06529256340991978,0.3746539321318894,organic,Oct,2016.0
30,0.13045637729567788,0.21898394704960686,conventional,Sep,2016.0
31,0.059502459757399206,0.27435561316805174,organic,Sep,2016.0
32,0.048177804165466964,0.15999303657142472,conventional,Aug,2016.0
33,0.010890108134022265,0.25053829272049544,organic,Aug,2016.0
34,0.0693962232492976,0.15130195712917582,conventional,Jul,2016.0
35,0.007710952198944787,0.28001874895684753,organic,Jul,2016.0
36,0.08461460118937934,0.18323261322706036,conventional,Jun,2016.0
37,0.002412743144190356,0.2983074497809091,organic,Jun,2016.0
38,0.13931860720308456,0.2651766288633172,conventional,May,2016.0
39,0.0020265498293138406,0.32152128160956545,organic,May,2016.0
40,0.15269504028511718,0.24600060454755487,conventional,Apr,2016.0
41,0.0,0.32402997507385045,organic,Apr,2016.0
42,0.13039172237574553,0.2279242713694917,conventional,Mar,2016.0
43,0.0038586648247973233,0.4686136550132252,organic,Mar,2016.0
44,0.18572452398455755,0.2563306629671583,conventional,Feb,2016.0
45,0.0,0.3975917029665419,organic,Feb,2016.0
46,0.15796403342934037,0.2489626748364761,conventional,Jan,2016.0
47,0.012218794269123229,0.5100313609705796,organic,Jan,2016.0
48,0.05158062867484386,0.25561901406219195,conventional,Dec,2017.0
49,0.011165758290064052,0.18970996737570303,organic,Dec,2017.0
50,0.05222083312056144,0.29670677766374526,conventional,Nov,2017.0
51,0.04840813158126743,0.12532986828324455,organic,Nov,2017.0
52,0.0926678166727298,0.261433215334552,conventional,Oct,2017.0
53,0.029748099294678025,0.09920213275375803,organic,Oct,2017.0
54,0.0627206515921671,0.24032534143957043,conventional,Sep,2017.0
55,0.033320413046858864,0.16416166672401133,organic,Sep,2017.0
56,0.07354139021674293,0.2726395827461212,conventional,Aug,2017.0
57,0.0006904868697514152,0.131512651978835,organic,Aug,2017.0
58,0.05905818904851093,0.24583554038210792,conventional,Jul,2017.0
59,0.0004879785816968467,0.23240254226698312,organic,Jul,2017.0
60,0.06659252638536732,0.23987223984983902,conventional,Jun,2017.0
61,0.0010195137844688203,0.38952425729933204,organic,Jun,2017.0
62,0.06564680496146941,0.2423891212700589,conventional,May,2017.0
63,0.18166824922412203,0.37068471161693867,organic,May,2017.0
64,0.0680634449258877,0.22625821126693746,conventional,Apr,2017.0
65,0.10763979509853593,0.3611295011508818,organic,Apr,2017.0
66,0.06489584467814187,0.19677880977519607,conventional,Mar,2017.0
67,0.13481728721206224,0.4383486565493024,organic,Mar,2017.0
68,0.10623290806023925,0.2206098481144203,conventional,Feb,2017.0
69,0.05374992093963537,0.40598570732058914,organic,Feb,2017.0
70,0.1693179487296569,0.2278719762980938,conventional,Jan,2017.0
71,0.09932362772970102,0.3312402730229712,organic,Jan,2017.0
72,,,conventional,Dec,2018.0
73,,,organic,Dec,2018.0
74,,,conventional,Nov,2018.0
75,,,organic,Nov,2018.0
76,,,conventional,Oct,2018.0
77,,,organic,Oct,2018.0
78,,,conventional,Sep,2018.0
79,,,organic,Sep,2018.0
80,,,conventional,Aug,2018.0
81,,,organic,Aug,2018.0
82,,,conventional,Jul,2018.0
83,,,organic,Jul,2018.0
84,,,conventional,Jun,2018.0
85,,,organic,Jun,2018.0
86,,,conventional,May,2018.0
87,,,organic,May,2018.0
88,,,conventional,Apr,2018.0
89,,,organic,Apr,2018.0
90,0.0461000190243666,0.2285417576422843,conventional,Mar,2018.0
91,0.02915770844341998,0.1964673238253465,organic,Mar,2018.0
92,0.04564231691063467,0.27410338709070503,conventional,Feb,2018.0
93,0.030184511831542925,0.18703225192948678,organic,Feb,2018.0
94,0.04941906463744421,0.2749495789070075,conventional,Jan,2018.0
95,0.011924481645768646,0.16858792476373383,organic,Jan,2018.0
